[-0.65339473 -0.75701739 -6.96347738],[-0.85172665  0.52398637 -2.68139096],[-0.75884546  0.65127073  6.02038553],[-0.99958319 -0.02886934 -6.48150141],[-0.56478852  0.82523568  4.52858527]
[-0.8873052  -0.46118269 -7.5881707 ],[-0.78894264  0.61446685 -2.20370838],[-0.92498176  0.3800115   6.38898115],[-0.95769504  0.28778501 -6.41573091],[-0.75017835  0.66123555  4.96309571]
[-0.99666868 -0.08155693 -7.95360046],[-0.73350062  0.67968878 -1.712565  ],[-0.99798346  0.06347452  6.52583019],[-0.82789651  0.56088089 -6.07072466],[-0.89702658  0.4419766   5.29327168]
[-0.94845838  0.31690171 -8.        ],[-0.68877441  0.72497573 -1.27321797],[-0.96733504 -0.25350133  6.39630672],[-0.64407216  0.76496474 -5.5107431 ],[-0.98283406  0.18449174  5.44492578]
[-0.75536912  0.65529954 -7.84236121],[-0.65859185  0.75250035 -0.81702485],[-0.84776918 -0.53036536  6.05466723],[-0.44324579  0.89640012 -4.81186767],[-0.9962637  -0.08636339  5.44051623]
[-0.46586907  0.88485367 -7.43201416],[-0.64328126  0.76562995 -0.40339274],[-0.67100869 -0.74144948  5.52392939],[-0.25350012  0.96733536 -4.05839015],[-0.94029896 -0.34034962  5.21635143]
[-0.14181175  0.98989364 -6.8465019 ],[-0.64187302  0.76681094 -0.03675796],[-0.47658208 -0.87912998  4.77611262],[-0.09037355  0.99590794 -3.31599669],[-0.83442196 -0.55112611  4.72849043]
[ 0.16616252  0.98609838 -6.18456443],[-0.65505908  0.75557766  0.34644847],[-0.29482994 -0.95554974  3.94970408],[ 0.04158228  0.99913508 -2.64182579],[-0.70303536 -0.7111549   4.14852739]
[ 0.42782045  0.90386374 -5.5028645 ],[-0.68419698  0.72929726  0.78482444],[-0.14822263 -0.98895402  3.01013471],[ 0.14253041  0.98979042 -2.02846386],[-0.56848271 -0.82269521  3.49992736]
[ 0.63327567  0.77392631 -4.87396857],[-0.72573145  0.68797809  1.17189911],[-0.04161152 -0.99913387  2.14294557],[ 0.21601582  0.97638986 -1.4942926 ],[-0.44516968 -0.89544623  2.86593286]
