[-0.57601462],[-0.9407946],[-0.71610734],[0.03141235],[-0.14655789]
[-0.63400832],[-0.49723026],[-0.75036743],[0.09586481],[-1.08994851]
[-0.13309654],[-0.58219279],[-0.83858069],[0.3243147],[-0.63237503]
[-0.14436212],[-0.30199085],[-0.72872094],[0.11676356],[-0.83809574]
[-0.31603437],[-0.42259033],[-0.25926278],[0.14058095],[-1.16375481]
[-0.00715126],[-0.41016483],[0.09795929],[0.19557212],[-1.08122625]
[-0.04695783],[0.10168493],[0.11947093],[0.01295205],[-1.19971084]
[-0.04048964],[0.30056433],[-0.20583523],[0.28836952],[-1.44793216]
[-0.220025],[0.45799893],[0.03254504],[-0.43694776],[-1.075691]
[0.07019393],[0.32988961],[0.17091451],[-0.70031603],[-1.44259143]
[0.16916691],[0.04476131],[0.03226685],[-0.04731827],[-1.44940963]
[0.13036619],[0.69518698],[-0.23871842],[0.13487751],[-1.14068462]
[-0.13505886],[0.34531552],[-0.32985393],[0.39477009],[-0.51710995]
[0.21592666],[-0.09550229],[-0.48782127],[0.98657684],[-0.56481633]
[-0.00215372],[-0.48479148],[-0.14679872],[0.6984718],[-0.3014782]
[-0.50390198],[-0.07736124],[0.27430963],[0.40762835],[-0.04361328]
[-0.96741181],[-0.47143603],[0.37467679],[0.55461734],[-0.19461842]
[-1.61646102],[-0.46697907],[0.13584119],[0.36522402],[-0.52956081]
[-1.44615596],[-0.11026056],[-0.12647211],[0.01860444],[0.06964575]
[-1.23627432],[-0.02393061],[-0.35720557],[-0.25702185],[0.66791388]
[-1.38142331],[-0.13107173],[-0.38558235],[-0.67169325],[0.74190023]
[-1.5085771],[-0.16372862],[-0.6845703],[-0.20091616],[1.19001132]
[-1.46571154],[-0.71785148],[-0.78055133],[-0.00690842],[0.75790403]
[-0.40817492],[-0.77524469],[-1.48924985],[-0.09608354],[1.11928086]
[-0.10238869],[-0.74757532],[-1.67681858],[-0.21494781],[1.06987004]
[0.02554169],[-0.41134476],[-2.],[-0.18791356],[0.63912152]
[-0.55393365],[-0.46386252],[-1.82173951],[-0.25521211],[0.65050534]
[-0.54505504],[-1.3293853],[-1.32496138],[0.02371851],[1.00268636]
[-0.02294181],[-1.55429752],[-1.71891648],[0.40652652],[1.53118082]
[0.05916913],[-0.92196224],[-1.99930366],[-0.03197087],[1.34199635]
[-0.09676114],[-1.04363773],[-1.68563366],[0.25659271],[1.73245529]
[0.49900705],[-0.89875208],[-1.38355664],[0.34478709],[2.]
[0.57259076],[-1.01959807],[-1.57182408],[0.10746829],[1.88301519]
[0.98712802],[-0.88917718],[-1.63705387],[0.30175112],[1.80415509]
[0.08430482],[-1.141991],[-1.25375344],[0.85102535],[1.7451744]
[0.08091288],[-1.16842928],[-0.89851244],[0.9046399],[1.33921411]
[-0.52102512],[-1.31431601],[-1.23194881],[0.77520596],[1.24698366]
[-0.73127815],[-0.99321823],[-0.92002107],[0.65893373],[1.25324678]
[-0.52231211],[-0.57729508],[-0.91418345],[0.83756765],[1.4152858]
[-1.46471325],[-0.22426199],[-1.1142829],[0.87850144],[0.98252202]
[-1.65402909],[-0.58419973],[-1.05471812],[1.30378156],[0.92729391]
[-1.37987642],[-0.60820479],[-0.53591512],[1.28929026],[-0.22121459]
[-1.36977653],[-0.85112606],[-0.6986539],[1.47028219],[-0.92816699]
[-1.15870709],[-0.85841339],[-0.39388199],[1.18510549],[-0.69632846]
[-0.85103834],[-0.67898683],[-0.29822689],[0.71800078],[-0.68111561]
[-1.45835853],[-0.16725561],[0.10026955],[0.65663029],[-0.41835448]
[-1.12694827],[-0.10732591],[-0.10599003],[0.57608302],[-0.55490613]
[-0.60841551],[-0.16656464],[-0.19954268],[0.19025744],[-0.58151416]
[0.04807297],[-0.00308439],[-0.85718156],[0.05350553],[-0.26320797]
[0.51049156],[0.33444895],[-1.10814315],[-0.16941393],[-0.81591178]
[0.37599228],[0.20843568],[-0.86549251],[0.17310358],[-0.86589847]
[0.57143006],[-0.08341931],[-1.10812308],[0.0815198],[-0.66004252]
[1.00311471],[-0.42574682],[-0.95850527],[0.11517328],[-0.75781684]
[0.66329958],[-0.47795322],[-0.74560154],[0.3116566],[-1.26254588]
[0.82707108],[-0.28349074],[-0.18203634],[0.07860315],[-1.50774484]
[1.09805941],[-0.00769608],[-0.11627908],[-0.21461879],[-1.27332927]
[1.19629038],[0.00375107],[-0.02148929],[-1.22558886],[-1.28442361]
[1.48666971],[-0.43105091],[-0.37225571],[-0.79395212],[-0.87890427]
[0.88673375],[-0.71910969],[0.12065267],[-1.38922767],[-0.45383446]
[0.72465646],[-0.45970961],[-0.45359093],[-1.32365513],[0.10257293]
[0.94611889],[-0.27459466],[-1.1964498],[-1.9976653],[0.66128609]
[1.50265478],[-0.10708121],[-0.80301159],[-2.],[0.54790911]
[1.1431301],[-0.51242126],[-1.16546595],[-2.],[0.8760538]
[1.23826805],[-0.74785833],[-1.11022944],[-1.89498674],[0.76331734]
[0.72199844],[-0.7391928],[-1.09251462],[-1.86921849],[1.2646632]
[0.46357217],[-0.14349116],[-1.36380699],[-1.9085881],[1.81266671]
[0.122047],[0.23124043],[-1.44930448],[-2.],[1.68151131]
[0.14661277],[0.60700965],[-1.03348107],[-2.],[1.66479827]
[-0.53840072],[0.13688302],[-1.35005157],[-2.],[1.52172649]
[-0.38117908],[-0.43302307],[-1.17479971],[-2.],[1.68444765]
[-0.26072903],[-1.11794451],[-1.0774008],[-1.70271884],[1.93986339]
[-0.10027505],[-1.62307719],[-1.10744644],[-1.97338259],[1.85344497]
[0.09396683],[-1.30808728],[-1.13545871],[-2.],[1.73317492]
[0.72945896],[-1.00993749],[-0.78932093],[-1.63561886],[1.8036504]
[0.58441151],[-1.69132254],[-0.9186147],[-1.41047763],[1.43835318]
[0.17569061],[-2.],[-0.97571191],[-1.09967966],[1.43323176]
[-0.33160886],[-2.],[-1.00776216],[-1.01067169],[1.37502814]
[-0.65085107],[-2.],[-0.60167886],[-0.72885173],[1.05901948]
[-0.82140225],[-1.77804509],[-0.80756224],[-0.4406717],[1.34198603]
[-0.59057428],[-1.6474569],[-0.42804969],[0.00202295],[1.8654862]
